stud_1,stud_2,sol_1,sol_2
L,U,IIIIOIOIONKIIIIIIIIIOIIIOIIIOIIIOIIIOIKIIKIIKIIIOIIIIKIIIIIIIIIIIIIIOIIIOIIKKIIOIIOIIIOIIKKNIIIINOIIOIININININIIIIIIKKIIIIKKIIONKIIIOIIONIIIIIONOIIONIIIIIIOIIONIKIIIOIIONIIIIIONOIIONIIIIKIII,IIIIOIOIONKIIIIIIIIIOIIIOIIIOIIIOIIIOIKIIKIIKIIIOIIIIKIIIIIIIIIIIIIIOIIIOIIKKIIOIIOIIIOIIKKNIIIINOIIOIININININIIIIIIKKIIIIKKIIONKIIIOIIONIIIIIONOIIONIIIIIIOIIONIKIIIOIIONIIIIIONOIIONIIIIKIII
A,F,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
B,A,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
B,F,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
H,K,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIIKKIONIIKKIONKIIINOIIIONNKIIINOIIIONNKIIINOIIIONNIIIIONOIIONIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKIONIIKKIONKIIINOIIIONNKIIINOIIIONNKIIINOIIIONNIIIIONOIIONIIIIKIII
G,N,IOIIOIIOIIIIOIIKIKIONOIOIONIOIIIIIIIKKIONIOIIIKKIONIKIINOIINIOIKIINOIINKIIINOIIINIOIIIIIOIIIIIIKKIIIIIIOIIII,KIIOIIOIIOIIIIOIIKIKIONOIOIONIOIIIIIIIKKNIONIOIIIKKIONIKIINOIINIOIIIINOIINKIIINOIIINIOIIIIIOIIIIIIKKIIIIIIOIIIIKIOI
E,R,IIKIIIIIIIIIOIIIOIIIOIIIOIIIOIKIIKIIOOIIOOIIOOOIIOOOIIINOOIIINOOIIINOOIIINOOOIIINOKIIIKIIOIIKONIIIOIIKNIIIOIIKNIIIOIIKONKKNKIIKIIONKIKIOIIIONIOIOIOIIKIKIIIONIIIIIIIONIIIKIIIKIIOIOIIKIKOIIOIIOIKIIIOIIKKIOIIIIIININININIINIINIINIINIINIOIIIIKIIIIIIKIOI,IIKIIIIIIIIIOIIIOIIIOIIIOIIIOIKIIKIIOOIIOOIIOOOIIOOOIIINOOIIINOOIIINOOIIINOOOIIINOKIIIKIIOIIKONIIIOIIKNIIIOIIKNIIIOIIKONKKNKIIKIIONKIKIOIIIONIOIOIOIIKIKIIIONIIIIIIIONIIIKIIIKIIOIOIIKIIOIIOIIOIIIIIOIIKIIOIIIIIININININIINIINIINIINIINIOIIIIKIIIIIIKIOI
A,T,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
F,T,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
B,T,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIIOININIOIIIIKKNIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIIOININIIKKIIOIIIKKIONIKIIINOIIINKIIINOIIINKIIINOIIINIOIIIIIOIIIIIIKIII
